latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.96017,135.57942,329.01,1.67,1.27,2025-05-17,0033,T,80,6.1NRT,299.94,42.19,D
-14.8422,127.49721,310.12,1.31,1.14,2025-05-17,0033,T,58,6.1NRT,297.98,7.68,D
-15.96604,135.53239,328.18,1.65,1.26,2025-05-17,0033,T,54,6.1NRT,300.12,38.91,D
-15.97143,135.57797,325.19,1.67,1.27,2025-05-17,0033,T,66,6.1NRT,300.24,31.59,D
-14.93091,127.99126,316.05,1.23,1.1,2025-05-17,0033,T,66,6.1NRT,298.96,11.36,D
-14.9326,128.00203,313.94,1.22,1.1,2025-05-17,0033,T,64,6.1NRT,299.55,9.17,D
-15.18642,129.65466,317.98,1.04,1.02,2025-05-17,0033,T,72,6.1NRT,299.27,10.87,D
-15.35834,130.82634,319.4,1,1,2025-05-17,0033,T,74,6.1NRT,301.34,9.79,D
-15.97726,135.53094,322.42,1.65,1.26,2025-05-17,0033,T,70,6.1NRT,298.55,28.5,D
-15.97907,135.54614,319.67,1.66,1.27,2025-05-17,0033,T,52,6.1NRT,299.4,21.38,D
-14.66661,126.21513,313.68,1.62,1.25,2025-05-17,0033,T,66,6.1NRT,296.7,16.14,D
-14.66903,126.22987,314.86,1.61,1.25,2025-05-17,0033,T,68,6.1NRT,296.75,18.1,D
-14.93984,127.92076,317.99,1.24,1.11,2025-05-17,0033,T,60,6.1NRT,300.07,13.03,D
-15.21706,129.73669,312.21,1.03,1.01,2025-05-17,0033,T,39,6.1NRT,298.93,5.33,D
-14.84989,127.2849,308.82,1.36,1.15,2025-05-17,0033,T,53,6.1NRT,297.65,7.05,D
-14.94259,127.87418,323.56,1.24,1.11,2025-05-17,0033,T,79,6.1NRT,299.94,21.53,D
-15.38229,130.80412,314.74,1,1,2025-05-17,0033,T,67,6.1NRT,301.7,5.39,D
-14.95241,127.87268,335.3,1.24,1.11,2025-05-17,0033,T,75,6.1NRT,299.56,38.54,D
-14.96463,127.95141,327.94,1.23,1.1,2025-05-17,0033,T,81,6.1NRT,299.69,26.09,D
-14.97438,127.94978,322.15,1.23,1.1,2025-05-17,0033,T,74,6.1NRT,299.66,17.12,D
-14.96497,127.82388,310.98,1.25,1.11,2025-05-17,0033,T,28,6.1NRT,298.64,6,D
-14.97027,127.85822,323.21,1.25,1.11,2025-05-17,0033,T,32,6.1NRT,299.12,19.09,D
-15.25302,129.73135,320.77,1.03,1.01,2025-05-17,0033,T,56,6.1NRT,299.26,11.73,D
-14.99165,127.91774,322.39,1.24,1.1,2025-05-17,0033,T,78,6.1NRT,299.22,18.12,D
-15.2733,129.74129,319.4,1.03,1.01,2025-05-17,0033,T,72,6.1NRT,298.9,11.8,D
-15.51342,131.39592,313.23,1.01,1.01,2025-05-17,0033,T,33,6.1NRT,299.15,5.96,D
-14.90997,127.34419,322.03,1.34,1.15,2025-05-17,0033,T,46,6.1NRT,297.47,21.04,D
-14.91191,127.35625,342.81,1.34,1.15,2025-05-17,0033,T,92,6.1NRT,299.6,64.95,D
-14.91387,127.36837,319.63,1.34,1.15,2025-05-17,0033,T,28,6.1NRT,298.86,16.09,D
-15.28228,129.73991,317.35,1.03,1.01,2025-05-17,0033,T,33,6.1NRT,299.25,9.48,D
-15.52233,131.39464,318.92,1.01,1.01,2025-05-17,0033,T,72,6.1NRT,298.16,11.03,D
-14.81153,126.60529,309.9,1.51,1.21,2025-05-17,0033,T,57,6.1NRT,297.97,10.31,D
-14.98131,127.66178,318.33,1.28,1.12,2025-05-17,0033,T,45,6.1NRT,298.69,13.8,D
-15.30024,129.73717,316,1.03,1.01,2025-05-17,0033,T,32,6.1NRT,298.85,8.36,D
-15.45925,130.82378,311.43,1,1,2025-05-17,0033,T,24,6.1NRT,299.4,3.58,D
-14.92874,127.26595,309.67,1.36,1.15,2025-05-17,0033,T,54,6.1NRT,297.06,7.78,D
-14.93069,127.27818,310.49,1.35,1.15,2025-05-17,0033,T,54,6.1NRT,297.29,8.41,D
-14.98017,127.59003,317.03,1.29,1.13,2025-05-17,0033,T,72,6.1NRT,298.7,14.08,D
-15.30923,129.73582,313.38,1.03,1.01,2025-05-17,0033,T,29,6.1NRT,297.95,6.36,D
-15.29999,129.61189,313.99,1.04,1.02,2025-05-17,0033,T,66,6.1NRT,298.41,7.59,D
-15.3014,129.62138,313.14,1.04,1.02,2025-05-17,0033,T,64,6.1NRT,298.64,6.73,D
-15.54362,131.28813,312.52,1.01,1,2025-05-17,0033,T,52,6.1NRT,300.06,5.23,D
-15.55382,131.29604,311.43,1.01,1,2025-05-17,0033,T,57,6.1NRT,299.54,4.5,D
-15.55512,131.30524,313.6,1.01,1,2025-05-17,0033,T,65,6.1NRT,300.41,6.07,D
-15.01554,127.62014,356.48,1.29,1.13,2025-05-17,0033,T,98,6.1NRT,301.06,104.45,D
-15.01736,127.63181,322.8,1.28,1.12,2025-05-17,0033,T,78,6.1NRT,299.19,21.92,D
-15.33476,129.72218,313.26,1.03,1.01,2025-05-17,0033,T,51,6.1NRT,298.07,6.43,D
-14.99228,127.40498,311.92,1.33,1.14,2025-05-17,0033,T,35,6.1NRT,298.69,7.57,D
-15.06615,127.88136,325.71,1.24,1.11,2025-05-17,0033,T,81,6.1NRT,301.59,22.22,D
-15.06789,127.89263,329.15,1.24,1.11,2025-05-17,0033,T,84,6.1NRT,300.87,26.93,D
-15.07065,127.8972,325.25,1.24,1.1,2025-05-17,0033,T,79,6.1NRT,300.46,20.99,D
-15.07244,127.90843,326.21,1.23,1.1,2025-05-17,0033,T,81,6.1NRT,300.71,24.21,D
-15.07423,127.91965,313.71,1.23,1.1,2025-05-17,0033,T,46,6.1NRT,299.83,8.56,D
-14.98076,127.27568,309.88,1.35,1.15,2025-05-17,0033,T,57,6.1NRT,298.14,7.22,D
-15.01776,127.50443,312.84,1.31,1.13,2025-05-17,0033,T,65,6.1NRT,298.73,9.92,D
-15.59492,131.321,323.63,1.01,1,2025-05-17,0033,T,79,6.1NRT,298.93,16.79,D
